Date,Close,seven_Day_Percent_Change
2013-01-02,110.9499969,-0.180258633
2013-01-03,110.6699982,0.063250832
2013-01-04,110.7900009,0.054154308
2013-01-07,110.7300034,0.198675684
2013-01-08,110.8300018,0.135343791
2013-01-09,110.75,0.261851842
2013-01-10,110.7399979,0.05418565
2013-01-11,110.8499985,0.072171251
2013-01-15,110.9800034,-0.099117505
2013-01-16,111.0400009,-0.045031566
2013-01-17,110.8000031,0.036095023
2013-01-18,110.9300003,-0.324529532
2013-01-22,110.8700027,-0.47804311
2013-01-23,110.9899979,-0.630684712
2013-01-24,110.8399963,-0.405987877
2013-01-25,110.5699997,-0.569772321
2013-01-28,110.4100037,-0.144917722
2013-01-29,110.3399963,-0.290012421
2013-01-30,110.2900009,-0.072537701
2013-01-31,110.3899994,-0.12682253
2013-02-01,109.9400024,0.309256258
2013-02-04,110.25,-0.072564019
2013-02-05,110.0199966,0.118164776
2013-02-06,110.2099991,-0.154249315
2013-02-07,110.25,-0.009072232
2013-02-08,110.2799988,-0.027202375
2013-02-12,110.1500015,-0.027234479
2013-02-13,110.0400009,0.136315453
2013-02-14,110.2399979,0.009073056
2013-02-15,110.25,0.054419554
2013-02-19,110.1200027,0.526692869
2013-02-20,110.1900024,0.490063439
2013-02-21,110.25,0.526078758
2013-02-22,110.3099976,0.317293184
2013-02-25,110.7300034,-0.135466018
2013-02-26,110.6999969,-0.189701075
2013-02-27,110.7300034,-0.325115686
2013-02-28,110.8300018,-0.622577308
2013-03-01,110.6600037,-0.759085432
2013-03-04,110.5800018,-0.633029993
2013-03-05,110.4899979,-0.371070722
2013-03-06,110.3700027,-0.344300873
2013-03-07,110.1399994,-0.027236952
2013-03-08,109.8199997,0.355126016
2013-03-11,109.8799973,0.39133629
2013-03-12,110.0800018,0.35428723
2013-03-13,109.9899979,0.327303043
2013-03-14,110.1100006,0.236129448
2013-03-15,110.2099991,0.181475891
2013-03-18,110.3099976,0.054396872
2013-03-19,110.4700012,0.027155589
2013-03-20,110.3499985,0.344363288
2013-03-21,110.3700027,0.326176136
2013-03-25,110.3700027,0.181205892
2013-03-26,110.5,-0.045251631
2013-03-27,110.7300034,-0.144498923
2013-03-28,110.7300034,0.135459128
2013-04-01,110.5699997,0.397940167
2013-04-02,110.4499969,0.543237773
2013-04-03,110.5699997,0.226101113
2013-04-04,110.8799973,-0.036075863
2013-04-05,111.1999969,0
2013-04-08,111.0100021,0.216194811
2013-04-09,111.0500031,0.180096301
2013-04-10,110.8199997,0.38801688
2013-04-11,110.8399963,0.351864879
2013-04-12,111.1999969,0.035972047
2013-04-15,111.25,0.116851464
2013-04-16,111.25,0.071911758
2013-04-17,111.25,0.05393039
2013-04-18,111.2300034,0.026970043
2013-04-19,111.2399979,0.224739307
2013-04-22,111.3799973,0.161609184
2013-04-23,111.3300018,0.188627577
2013-04-24,111.3099976,0.071872997
2013-04-25,111.2600021,0.125830835
2013-04-26,111.4899979,-0.448470723
2013-04-29,111.5599976,-0.672283987
2013-04-30,111.5400009,-0.708266908
2013-05-01,111.3899994,-0.484784019
2013-05-02,111.4000015,-0.628370348
2013-05-03,110.9899979,-0.459495916
2013-05-06,110.8099976,-0.388051904
2013-05-07,110.75,-0.568846278
2013-05-08,110.8499985,-0.514208121
2013-05-09,110.6999969,-0.108396676
2013-05-10,110.4800034,-0.153879248
2013-05-13,110.3799973,-0.163073301
2013-05-14,110.1200027,0.154375377
2013-05-15,110.2799988,-0.326442342
2013-05-16,110.5800018,-0.633029993
2013-05-17,110.3099976,-0.389810819
2013-05-21,110.2900009,-0.988307152
2013-05-22,109.9199982,-0.518558683
2013-05-23,109.8799973,-0.509644678
2013-05-24,109.8799973,-0.700761433
2013-05-28,109.1999969,-0.430397074
2013-05-29,109.3499985,-0.621856712
2013-05-30,109.3199997,-0.338458423
2013-05-31,109.1100006,-0.458253136
2013-06-03,108.9700012,-0.532258259
2013-06-04,108.7300034,-0.303505767
2013-06-05,108.6699982,-0.414094926
2013-06-06,108.9499969,-0.183567649
2013-06-07,108.6100006,0.156521654
2013-06-10,108.3899994,0.286001993
2013-06-11,108.4000015,0.239854366
2013-06-12,108.2200012,-0.267973491
2013-06-13,108.75,-1.416092796
2013-06-14,108.7799988,-1.994850334
2013-06-17,108.6999969,-2.318304245
2013-06-18,108.6600037,-2.171912876
2013-06-19,107.9300003,-1.093301493
2013-06-20,107.2099991,-0.009329481
2013-06-21,106.6100006,0.562797552
2013-06-24,106.1800003,0.922964169
2013-06-25,106.3000031,0.809031595
2013-06-26,106.75,0.24356172
2013-06-28,107.2099991,-1.277868444
2013-07-01,107.1600037,-0.718555661
2013-07-02,107.1600037,-0.615904852
2013-07-03,107.0100021,-0.738249603
2013-07-05,105.8399963,0.916478887
2013-07-08,106.3899994,0.610961114
2013-07-09,106.5,0.666665807
2013-07-10,106.2200012,1.148560729
2013-07-11,106.9300003,0.289907002
2013-07-12,106.8099976,0.664730925
2013-07-15,107.0400009,0.579225281
2013-07-16,107.2099991,0.36377147
2013-07-17,107.4400024,-0.176845157
2013-07-18,107.2399979,0.046627241
2013-07-19,107.5199966,-0.241810375
2013-07-22,107.6600037,-0.371541438
2013-07-23,107.5999985,-0.353157304
2013-07-24,107.25,0.046622892
2013-07-25,107.2900009,-0.745645489
2013-07-26,107.2600021,-0.382252148
2013-07-29,107.2600021,-0.335633604
2013-07-30,107.2200012,-0.401044861
2013-07-31,107.3000031,-0.344830136
2013-08-01,106.4899979,0.55404637
2013-08-02,106.8499985,0.280770291
2013-08-05,106.9000015,0.168381948
