date,value,7_day_change,7_day_volatility
2019-01-01,,,0.016999999999999904
2019-01-02,1.2598,0.023800000000000043,0.023800000000000043
2019-01-03,1.2633,0.016550000000000065,0.020299999999999985
2019-01-04,1.274,0.0020999999999999908,0.011200000000000099
2019-01-07,1.2757,0.010499999999999954,0.013800000000000034
2019-01-08,1.2724,0.021600000000000064,0.021600000000000064
2019-01-09,1.2764,0.013400000000000079,0.017900000000000027
2019-01-10,1.2768,0.015850000000000142,0.017900000000000027
2019-01-11,1.2836,0.011900000000000022,0.019400000000000084
2019-01-14,1.2798500000000002,0.02754999999999974,0.031299999999999883
2019-01-15,1.2761,0.026599999999999957,0.031299999999999883
2019-01-16,1.2862,0.031400000000000095,0.031400000000000095
2019-01-17,1.294,0.02180000000000004,0.027800000000000047
2019-01-18,1.2898,0.024799999999999933,0.027800000000000047
2019-01-21,1.29265,0.013549999999999951,0.024950000000000028
2019-01-22,1.2955,0.017999999999999794,0.02210000000000001
2019-01-23,1.3074,0.0020000000000000018,0.014900000000000135
2019-01-24,1.3027,0.0040999999999999925,0.014900000000000135
2019-01-25,1.3176,-0.022900000000000142,0.022900000000000142
2019-01-28,1.3158,-0.020199999999999996,0.02110000000000012
2019-01-29,1.3146,-0.018000000000000016,0.01990000000000003
2019-01-30,1.3062,-0.012900000000000134,0.020199999999999996
2019-01-31,1.3135,-0.02729999999999988,0.02729999999999988
2019-02-01,1.3094,-0.02069999999999994,0.023199999999999887
2019-02-04,1.3068,-0.020299999999999985,0.02059999999999995
2019-02-05,1.2947,-0.015399999999999858,0.01729999999999987
2019-02-06,1.2956,-0.00990000000000002,0.01729999999999987
2019-02-07,1.2966,-0.0019499999999998963,0.01729999999999987
2019-02-08,1.2933,0.010300000000000198,0.02429999999999999
2019-02-11,1.2862,0.018600000000000172,0.025500000000000078
2019-02-12,1.2887,0.017300000000000093,0.026699999999999946
2019-02-13,1.2865,0.020199999999999996,0.02739999999999987
2019-02-14,1.2793,0.026599999999999957,0.02739999999999987
2019-02-15,1.2857,0.03949999999999987,0.03949999999999987
2019-02-18,1.29465,0.037150000000000016,0.037150000000000016
2019-02-19,1.3036,0.02379999999999982,0.028200000000000003
2019-02-20,1.3048000000000002,0.01739999999999986,0.026999999999999913
2019-02-21,1.306,0.012599999999999945,0.025900000000000034
2019-02-22,1.3067,0.007400000000000073,0.025900000000000034
2019-02-25,1.3059,0.008899999999999908,0.025900000000000034
2019-02-26,1.3252,-0.014499999999999957,0.02110000000000012
2019-02-27,1.3318,-0.03080000000000016,0.03080000000000016
2019-02-28,1.3274,-0.017899999999999805,0.02639999999999998
2019-03-01,1.3222,-0.0121,0.021200000000000108
2019-03-04,1.3186,0.0043999999999999595,0.02200000000000002
2019-03-05,1.3141,0.014000000000000012,0.027100000000000124
2019-03-06,1.3148,0.013000000000000123,0.027100000000000124
2019-03-07,1.3107,0.011600000000000055,0.027100000000000124
2019-03-08,1.301,0.0253000000000001,0.027100000000000124
2019-03-11,1.3095,0.009599999999999831,0.01859999999999995
2019-03-12,1.3101,-0.0028000000000001357,0.02080000000000015
2019-03-13,1.323,-0.0010999999999998789,0.02080000000000015
2019-03-14,1.3281,-0.007800000000000029,0.02080000000000015
2019-03-15,1.3278,-0.006300000000000194,0.020500000000000185
2019-03-18,1.3223,-0.0031000000000001027,0.019000000000000128
2019-03-19,1.3263,-0.01750000000000007,0.019000000000000128
2019-03-20,1.3191,-0.015900000000000025,0.01870000000000016
2019-03-21,1.3073,0.007100000000000106,0.01870000000000016
2019-03-22,1.3219,-0.018399999999999972,0.01870000000000016
2019-03-25,1.3203,-0.0021999999999999797,0.018299999999999983
2019-03-26,1.3215,-0.01429999999999998,0.018299999999999983
2019-03-27,1.3192,-0.018199999999999994,0.018199999999999994
2019-03-28,1.3088,-0.0040000000000000036,0.017100000000000115
2019-03-29,1.3032,0.0016000000000000458,0.017100000000000115
2019-04-01,1.3144,-0.0043999999999999595,0.017100000000000115
2019-04-02,1.3035,0.0032999999999998586,0.017100000000000115
2019-04-03,1.3181,-0.009500000000000064,0.017100000000000115
2019-04-04,1.3072,0.0033000000000000806,0.009500000000000064
2019-04-05,1.301,0.0039000000000000146,0.009500000000000064
2019-04-08,1.3048,-0.0011999999999998678,0.006899999999999906
2019-04-09,1.3048,-0.0044999999999999485,0.010199999999999987
2019-04-10,1.31,-0.009700000000000042,0.010199999999999987
2019-04-11,1.3068,-0.008499999999999952,0.012199999999999989
2019-04-12,1.3086,-0.01429999999999998,0.016199999999999992
2019-04-15,1.3105,-0.015800000000000036,0.016199999999999992
2019-04-16,1.3049,-0.014799999999999924,0.014799999999999924
2019-04-17,1.3036,-0.010600000000000165,0.013500000000000068
2019-04-18,1.3003,-0.007900000000000018,0.010199999999999987
2019-04-19,1.3003,0.0026999999999999247,0.012899999999999912
2019-04-22,1.2983,0.01079999999999992,0.018999999999999906
2019-04-23,1.2943,0.008899999999999908,0.018999999999999906
2019-04-24,1.2947,0.019200000000000106,0.023800000000000043
2019-04-25,1.2901,0.019199999999999884,0.023800000000000043
2019-04-26,1.293,0.012199999999999989,0.021500000000000075
2019-04-29,1.2924,0.008999999999999897,0.021500000000000075
2019-04-30,1.303,-0.0017000000000000348,0.012600000000000167
2019-05-01,1.3091,-0.005499999999999838,0.012600000000000167
2019-05-02,1.3032,-0.007099999999999884,0.017800000000000038
2019-05-03,1.3139,-0.02180000000000004,0.02180000000000004
2019-05-06,1.3093,-0.021499999999999853,0.021499999999999853
2019-05-07,1.3052,-0.024899999999999922,0.024899999999999922
